"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
40,ALFA25000000,ALFA4000,1,ALFA4000
40,ALFA25000000,DESM0125,1,DESM0125
41,AZAT50,ALEN10,30,ALEN10
41,AZAT50,ALEN70,39,ALEN70
41,AZAT50,ATOR20,36,ATOR20
41,AZAT50,CICLOSP100,29,CICLOSP100
41,AZAT50,CICLOSP25,26,CICLOSP25
41,AZAT50,CICLOSP50,33,CICLOSP50
41,AZAT50,CIPR100,39,CIPR100
41,AZAT50,HIDR400,109,HIDR400
41,AZAT50,MICO360,114,MICO360
41,AZAT50,TACR1,58,TACR1
41,AZAT50,TACR5,67,TACR5
42,LAMI10240,ADEF10,27,ADEF10
42,LAMI10240,LAMI150,79,LAMI150
42,LAMI10240,TACR1,20,TACR1
42,LAMI10240,TENO300,22,TENO300
42,LAMI150,ADEF10,157,ADEF10
42,LAMI150,ENTE05,115,ENTE05
42,LAMI150,LAMI10240,30,LAMI10240
42,LAMI150,MICO360,18,MICO360
42,LAMI150,TACR1,64,TACR1
42,LAMI150,TENO300,201,TENO300
43,ALFA2100,RIBA250,7552,RIBA250
43,ALFA2180,RIBA250,45117,RIBA250
43,ALFA23000000,RIBA250,7365,RIBA250
43,ALFA280,RIBA250,16601,RIBA250
43,DACL60,RIBA250,19274,RIBA250
43,DACL60,SOFO400,29150,SOFO400
43,RIBA250,ALFA10000,9962,ALFA10000
43,RIBA250,DACL60,6368,DACL60
43,RIBA250,SOFO400,21610,SOFO400
43,SIME150,SOFO400,11490,SOFO400
44,ALFA3000,SACA1005,14772,SACA1005
44,CALC025,ALFA4000,28068,ALFA4000
44,CALC025,SACA1005,45111,SACA1005
44,CALC025,SEVE800,18786,SEVE800
44,SACA1005,ALFA4000,63506,ALFA4000
44,SACA1005,CALC025,29636,CALC025
44,SACA1005,SEVE800,69011,SEVE800
44,SEVE800,ALFA4000,19709,ALFA4000
44,SEVE800,CALC025,15726,CALC025
44,SEVE800,SACA1005,18741,SACA1005
45,CIPR50,FLUD01,24,FLUD01
45,CIPR50,LEUP1125,9,LEUP1125
45,CIPR50,LEUP375,9,LEUP375
45,CIPR50,SOMA12,10,SOMA12
45,CIPR50,SOMA4,9,SOMA4
45,FLUD01,ATOR20,21,ATOR20
45,FLUD01,CIPR50,67,CIPR50
45,FLUD01,LEUP1125,20,LEUP1125
45,FLUD01,LEUP375,63,LEUP375
45,FLUD01,SOMA12,17,SOMA12
45,FLUD01,SOMA4,9,SOMA4
45,FLUD01,TRIP375,13,TRIP375
45,FLUT250,FLUT250,11,FLUT250
46,BROM25,CABE05,2647,CABE05
46,CABE05,ATOR10,245,ATOR10
