co_pcdt,co_cnes_estabelecimento,qt_dispensacao,qt_cns_paciente,nu_competencia_min,nu_competencia_max
6,2768410,2110,92,200801,201511
6,2768429,7,1,201406,201501
6,2768437,9,4,201407,201605
6,2768445,90,3,200801,201412
6,2768453,32,3,200904,201410
6,2768461,57,3,200801,201601
6,2768496,13,1,201103,201306
6,2768518,85,8,200804,201511
6,2768534,87,3,201105,201511
6,2774526,179,5,200902,201906
6,2774593,15,1,201006,201108
6,2777606,44,4,201012,201501
6,2781948,5,1,201605,201609
6,2783746,162,6,201312,201906
6,2784432,934,29,200801,201906
6,2785250,59,8,200801,201101
6,2786214,57,6,200801,201812
6,2792354,5,2,201105,201703
6,2792907,871,33,200801,201906
6,2793229,9,2,200804,201906
6,2816725,1,1,201809,201809
6,2816741,99,12,201311,201711
6,2818256,107,6,200804,201903
6,3542734,171,7,200812,201504
6,3554481,16,3,201702,201905
6,3554503,76,5,200908,201508
6,3554538,61,8,201205,201705
6,3653404,502,14,200801,201906
6,3846393,731,54,201205,201906
6,3890538,114,8,200801,201906
6,4016017,2,1,201009,201009
6,4036220,143,9,200801,201606
6,4046374,1582,256,200801,201611
6,4054016,152,8,200801,201906
6,4057198,24,3,200810,201905
6,4069463,4,2,200809,200812
6,5188628,55,6,201103,201512
6,5450616,73,1,201110,201906
6,5604613,673,25,200805,201906
6,5968607,198,4,200812,201904
6,6009492,107,5,200810,201905
6,6018599,139,6,201103,201902
6,6055117,166,9,200901,201906
6,6059465,6,2,201410,201509
6,6352782,13,1,201208,201402
6,6461425,25,2,201402,201810
6,6471188,131,7,201012,201601
6,6503829,4769,281,201005,201906
6,6544290,95,9,201209,201905
6,6557961,6,1,201203,201208
6,6578640,45,2,201112,201508
6,6926967,72,7,201402,201607
6,7043260,231,11,201210,201906
6,7472935,20,1,201405,201905
6,8002266,23,1,201212,201902
6,8003041,17,1,201409,201607
6,9317368,17,1,201712,201904
7,3441,4078,298,200801,201906
